monthly_income,income_variability,income_regularity,income_sources,monthly_transaction_count,average_transaction_value,transaction_consistency,digital_payment_ratio,electricity_payment_consistency,mobile_payment_consistency,rent_payment_consistency,average_payment_delay,on_time_payment_ratio,monthly_savings,savings_ratio,upi_activity_months,digital_activity_months,transaction_history_months,age_group,gender,income_group,occupation_category,repayment_probability,repayment_outcome
28271.05,0.2679,0.8306,3,51,150.0,0.541,0.7166,0.6276,0.6165,0.5188,19.11,0.5876,6411.16,0.2268,20,37,16,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.8874,1
26944.28,0.3465,0.7602,1,42,553.0,0.6169,0.7079,0.3456,0.3374,0.449,22.17,0.3773,4182.75,0.1552,22,33,20,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.7003,1
52048.4,0.3589,0.8077,2,55,150.0,0.7834,0.8286,0.7194,0.7267,0.7072,13.98,0.7178,15356.1,0.295,20,26,16,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.9577,1
18636.85,0.5103,0.3698,2,44,150.0,0.4335,0.9099,0.3088,0.2471,0.2877,27.61,0.2812,2765.1,0.1484,29,35,27,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.3161,0
49291.93,0.3514,0.775,2,65,150.0,0.583,0.8682,0.578,0.5666,0.6131,17.83,0.5859,13322.4,0.2703,3,16,1,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8593,0
25492.98,0.5602,0.6091,2,48,150.0,0.7527,0.8884,0.4632,0.5127,0.5379,19.28,0.5046,5339.68,0.2095,14,27,10,50+,Male,Low Income (<30k),Freelancer / Creator,0.8442,1
39185.71,0.2263,0.8045,2,55,301.05,0.8632,0.4539,0.6472,0.6222,0.5838,17.82,0.6177,8317.05,0.2122,18,24,13,25-34,Male,Middle Income (30k-80k),Freelancer / Creator,0.9251,0
42773.66,0.7324,0.521,1,54,357.65,0.2765,0.7126,0.4482,0.4392,0.5124,20.09,0.4666,3169.0,0.0741,39,51,38,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.1534,0
22105.93,0.6126,0.4869,1,54,150.0,0.7141,0.868,0.5422,0.4815,0.5497,22.45,0.5245,5456.48,0.2468,21,32,19,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.6465,1
27772.38,0.2752,0.677,2,45,153.64,0.2427,0.8843,0.4056,0.3945,0.4748,24.37,0.4249,6736.75,0.2426,24,38,19,25-34,Male,Low Income (<30k),Salaried Entry-level,0.8094,1
60337.61,0.3953,0.6187,2,59,216.49,0.774,0.8731,0.573,0.6273,0.539,18.16,0.5798,12140.43,0.2012,5,8,1,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7775,1
12000.0,0.7674,0.3389,1,61,150.0,0.6267,0.6017,0.3494,0.3511,0.3177,26.66,0.3394,912.66,0.0761,19,23,18,<25,Male,Low Income (<30k),Student / First-time Earner,0.1303,1
40570.97,0.26,0.8442,1,49,163.7,0.8376,0.9622,0.561,0.648,0.6455,14.84,0.6182,11450.08,0.2822,43,51,39,50+,Male,Middle Income (30k-80k),Freelancer / Creator,0.9683,1
12000.0,0.6041,0.5409,1,50,150.0,0.279,0.7858,0.6198,0.6422,0.5847,16.69,0.6156,1153.32,0.0961,38,48,36,35-49,Male,Low Income (<30k),Student / First-time Earner,0.6867,1
48091.25,0.4598,0.6547,1,57,271.51,0.4531,0.6946,0.5807,0.5731,0.5732,19.87,0.5757,9557.75,0.1987,18,20,18,50+,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.5767,0
19949.04,0.3727,0.7422,1,59,150.0,0.7388,0.9575,0.6082,0.6092,0.6876,17.55,0.635,6671.09,0.3344,16,28,13,35-49,Male,Low Income (<30k),Student / First-time Earner,0.908,1
38110.38,0.4261,0.732,2,52,406.54,0.771,0.7736,0.3795,0.3894,0.4701,21.74,0.413,5468.09,0.1435,23,40,20,25-34,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.835,1
45740.04,0.1572,0.906,3,62,423.74,0.8818,0.7894,0.6316,0.5829,0.6442,15.26,0.6196,14258.6,0.3117,18,26,13,50+,Male,Middle Income (30k-80k),Salaried Entry-level,0.961,1
36195.72,0.5449,0.4661,1,53,431.79,0.3942,0.6328,0.4966,0.4648,0.5326,18.15,0.498,5033.19,0.1391,29,38,26,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.6117,1
31815.05,0.5693,0.5434,1,58,150.0,0.696,0.9897,0.4206,0.398,0.3679,23.32,0.3955,5659.98,0.1779,52,62,51,<25,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.5782,0
41483.81,0.3582,0.6703,1,68,169.02,0.4647,0.9707,0.4881,0.4609,0.5417,20.25,0.4969,6641.57,0.1601,43,49,43,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8572,1
36143.84,0.2521,0.7354,2,56,396.37,0.9188,0.8787,0.6266,0.6522,0.6888,15.78,0.6559,11417.92,0.3159,68,78,60,25-34,Male,Middle Income (30k-80k),Salaried Entry-level,0.9767,1
40255.06,0.4261,0.5358,1,57,297.72,0.5187,0.9008,0.5057,0.4542,0.4827,19.21,0.4809,5600.57,0.1391,67,72,60,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8039,1
35330.78,0.6427,0.5615,2,48,259.94,0.7456,0.8863,0.5843,0.5036,0.4782,18.38,0.5221,6350.71,0.1797,29,33,24,25-34,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.8407,1
74013.47,0.267,0.7387,1,66,383.3,0.8453,0.7868,0.768,0.7511,0.8135,9.48,0.7775,23361.1,0.3156,34,38,31,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9668,1
26624.72,0.3361,0.7165,2,52,256.34,0.7951,0.8734,0.7311,0.6926,0.7679,13.26,0.7305,4195.5,0.1576,50,63,48,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.9534,1
73566.0,0.5443,0.3867,1,72,367.55,0.5747,0.6212,0.5205,0.4883,0.5097,28.49,0.5062,11134.65,0.1514,3,6,2,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.341,0
30447.35,0.2928,0.7193,3,44,260.64,0.5348,0.5072,0.6278,0.5763,0.5172,22.32,0.5738,10062.48,0.3305,26,28,21,25-34,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.8349,1
29937.53,0.5057,0.5222,1,60,150.0,0.6298,0.7995,0.6555,0.6219,0.6537,13.0,0.6437,7226.7,0.2414,43,53,40,<25,Female,Low Income (<30k),Gig Worker / Delivery,0.8834,1
28990.87,0.3047,0.7355,2,59,437.32,0.847,0.9682,0.7143,0.6961,0.6468,21.93,0.6857,10005.24,0.3451,5,10,3,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.9003,1
32698.53,0.5201,0.6305,1,48,466.81,0.3037,0.7741,0.6286,0.6151,0.5335,18.68,0.5924,3772.04,0.1154,50,58,50,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.7604,1
12000.0,0.1475,0.9143,1,48,150.0,0.7154,0.9455,0.6856,0.7483,0.6581,10.91,0.6973,5014.45,0.4179,24,29,22,50+,Male,Low Income (<30k),Student / First-time Earner,0.9937,1
26465.8,0.7293,0.3613,1,50,255.3,0.2706,0.7345,0.3874,0.427,0.3521,23.72,0.3888,4033.83,0.1524,15,20,13,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.0899,0
26531.42,0.2461,0.6862,1,58,150.0,0.2271,0.7542,0.7155,0.6949,0.7234,10.8,0.7113,7821.24,0.2948,7,19,7,<25,Female,Low Income (<30k),Gig Worker / Delivery,0.8923,1
63920.36,0.3295,0.7737,1,62,558.22,0.3798,0.6437,0.5463,0.5102,0.4888,18.26,0.5151,12393.75,0.1939,12,26,10,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.8315,1
31769.01,0.1896,0.9525,1,56,411.06,0.6921,0.7182,0.8087,0.8048,0.7055,8.49,0.773,11409.2,0.3591,24,41,20,35-49,Female,Middle Income (30k-80k),Salaried Entry-level,0.9857,1
50605.17,0.4423,0.6467,4,68,418.13,0.517,0.7217,0.5219,0.5293,0.5548,19.68,0.5353,4941.83,0.0977,17,33,13,35-49,Male,Middle Income (30k-80k),Freelancer / Creator,0.8107,1
51013.83,0.8802,0.227,1,52,271.43,0.5465,0.8483,0.449,0.3756,0.4267,20.63,0.4171,4317.28,0.0846,53,57,48,35-49,Male,Middle Income (30k-80k),Freelancer / Creator,0.1119,0
57026.88,0.4557,0.6387,2,57,244.83,0.8104,0.8509,0.5488,0.6094,0.6344,17.25,0.5975,16347.87,0.2867,28,40,24,35-49,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9077,0
27035.99,0.4603,0.5703,1,47,340.82,0.63,0.6732,0.5472,0.518,0.4979,17.31,0.521,6927.18,0.2562,10,14,8,<25,Female,Low Income (<30k),Gig Worker / Delivery,0.6827,1
26063.0,0.5247,0.4785,2,52,368.06,0.6745,0.6865,0.4638,0.4872,0.4359,20.3,0.4623,5610.44,0.2153,11,24,9,25-34,Female,Low Income (<30k),Freelancer / Creator,0.5534,1
17720.04,0.4773,0.6445,1,62,150.0,0.7448,0.4993,0.6309,0.5899,0.6564,15.26,0.6257,3840.61,0.2167,18,30,17,<25,Female,Low Income (<30k),Freelancer / Creator,0.8052,1
28864.93,0.2199,0.8529,3,44,398.06,0.7038,0.7631,0.598,0.6486,0.5682,19.11,0.6049,6833.27,0.2367,11,14,7,35-49,Male,Low Income (<30k),Salaried Entry-level,0.8758,1
12000.0,0.223,0.7573,1,44,363.02,0.6487,0.7844,0.5691,0.6167,0.5918,15.0,0.5925,2575.22,0.2146,7,10,4,25-34,Male,Low Income (<30k),Student / First-time Earner,0.8477,0
26570.1,0.3591,0.7522,1,66,236.19,0.8461,0.9869,0.4324,0.4202,0.5023,22.08,0.4516,5455.0,0.2053,22,27,19,25-34,Female,Low Income (<30k),Salaried Entry-level,0.8096,1
47807.93,0.3209,0.6083,4,57,377.48,0.3445,0.6111,0.4845,0.5504,0.5763,16.3,0.5371,7865.03,0.1645,60,72,60,<25,Female,Middle Income (30k-80k),Freelancer / Creator,0.9067,1
83787.81,0.6977,0.3446,1,68,432.97,0.479,0.7195,0.4094,0.4086,0.4928,19.76,0.4369,8758.87,0.1045,16,19,13,25-34,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.18,0
33450.1,0.3084,0.7429,1,51,150.0,0.5175,0.7498,0.6039,0.6866,0.6088,15.1,0.6331,9666.16,0.289,32,44,28,25-34,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.8703,1
47250.41,0.1336,0.8541,1,53,367.22,0.8977,0.7805,0.6341,0.6937,0.7066,12.97,0.6781,11789.33,0.2495,15,24,15,35-49,Male,Middle Income (30k-80k),Salaried Entry-level,0.9865,1
80348.15,0.22,0.7704,3,76,389.65,0.7426,0.99,0.4953,0.4612,0.5103,19.18,0.4889,19645.47,0.2445,7,22,7,25-34,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.9416,1
12000.0,0.2204,0.7117,1,49,150.0,0.4274,0.9392,0.625,0.7095,0.6876,13.7,0.6741,3371.22,0.2809,35,39,31,35-49,Male,Low Income (<30k),Student / First-time Earner,0.8997,1
23457.87,0.3778,0.6259,1,52,452.38,0.6903,0.5482,0.5246,0.4898,0.4684,17.9,0.4943,5377.76,0.2293,17,33,15,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.8242,1
49771.43,0.2711,0.7502,1,58,435.24,0.6339,0.9749,0.6313,0.6744,0.5827,14.63,0.6295,14911.59,0.2996,59,72,56,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.9375,1
44810.06,0.2366,0.7878,1,55,451.57,0.5638,0.8482,0.6127,0.6913,0.6799,12.88,0.6613,12028.2,0.2684,36,48,31,35-49,Male,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9744,1
23719.48,0.4499,0.7082,2,52,254.9,0.61,0.2725,0.5119,0.5749,0.605,17.95,0.5639,6461.73,0.2724,53,70,53,35-49,Male,Low Income (<30k),Gig Worker / Delivery,0.8636,1
114115.65,0.4221,0.5975,1,66,1023.09,0.6426,0.8767,0.5469,0.5921,0.5514,16.73,0.5635,22145.92,0.1941,31,36,31,25-34,Female,Upper Middle (>80k),Informal MSME / Shopkeeper,0.7573,1
13813.54,0.1328,0.8694,1,58,179.91,0.9613,0.8526,0.7642,0.7397,0.7812,9.24,0.7617,4441.77,0.3216,28,38,27,35-49,Male,Low Income (<30k),Student / First-time Earner,0.987,1
24767.04,0.1539,0.8675,3,51,150.0,0.4955,0.883,0.711,0.6582,0.6772,16.17,0.6821,6369.92,0.2572,25,27,24,25-34,Male,Low Income (<30k),Student / First-time Earner,0.9738,1
21201.9,0.621,0.4956,1,49,269.37,0.7285,0.8579,0.3606,0.4468,0.4907,23.39,0.4327,2865.14,0.1351,21,30,17,25-34,Female,Low Income (<30k),Salaried Entry-level,0.4337,0
22264.31,0.3511,0.5934,1,46,427.84,0.5537,0.4404,0.5897,0.6334,0.6115,14.75,0.6115,4486.6,0.2015,35,45,31,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.9101,1
46308.73,0.5733,0.4703,1,46,509.21,0.4975,0.6795,0.4057,0.4156,0.5162,21.72,0.4458,9109.63,0.1967,27,36,23,<25,Male,Middle Income (30k-80k),Salaried Entry-level,0.2135,1
56246.16,0.5313,0.5265,1,68,324.88,0.6871,0.8721,0.7037,0.7185,0.6401,10.99,0.6874,12722.75,0.2262,18,31,14,<25,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.8268,0
19438.37,0.3774,0.5592,1,39,455.34,0.7246,0.7578,0.6012,0.6597,0.6143,14.48,0.6251,5246.59,0.2699,17,30,12,<25,Male,Low Income (<30k),Freelancer / Creator,0.8711,1
25112.63,0.4347,0.6569,2,54,222.23,0.7041,0.8921,0.508,0.4489,0.4374,22.24,0.4648,3825.75,0.1523,32,47,30,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.8228,1
56494.88,0.2565,0.7388,2,52,390.95,0.8301,0.7392,0.5554,0.54,0.5321,19.73,0.5425,12147.19,0.215,18,29,16,25-34,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.905,1
28971.67,0.5025,0.4322,2,49,501.56,0.7722,0.5956,0.5184,0.4974,0.5023,19.32,0.506,2145.54,0.0741,22,24,19,25-34,Male,Low Income (<30k),Gig Worker / Delivery,0.7844,0
49590.4,0.8536,0.3495,2,59,559.56,0.4586,0.9459,0.4579,0.399,0.4132,24.97,0.4234,10036.04,0.2024,41,47,37,50+,Male,Middle Income (30k-80k),Salaried Entry-level,0.5074,1
22177.13,0.5137,0.609,1,49,254.7,0.7852,0.6522,0.6082,0.5811,0.5687,14.71,0.586,3204.14,0.1445,30,43,29,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.7398,1
28940.15,0.4917,0.4965,3,56,346.49,0.6924,0.6715,0.5476,0.5045,0.5597,16.48,0.5372,6831.14,0.236,21,32,21,25-34,Female,Low Income (<30k),Gig Worker / Delivery,0.6233,0
48749.6,0.2434,0.8309,1,64,345.48,0.3977,0.9251,0.5738,0.5298,0.4869,16.73,0.5302,10736.58,0.2202,18,27,13,35-49,Female,Middle Income (30k-80k),Freelancer / Creator,0.9134,1
81102.29,0.34,0.8783,1,64,548.69,0.564,0.8773,0.7335,0.6532,0.6368,12.42,0.6745,22916.92,0.2826,41,48,38,<25,Male,Upper Middle (>80k),Freelancer / Creator,0.9626,1
37275.82,0.2258,0.8853,2,55,222.32,0.9035,0.5607,0.779,0.7928,0.7823,8.27,0.7847,8802.04,0.2361,12,20,12,<25,Female,Middle Income (30k-80k),Gig Worker / Delivery,0.9857,1
30401.73,0.5846,0.6032,1,52,150.0,0.1752,0.9004,0.5136,0.5325,0.5128,18.25,0.5197,5053.79,0.1662,25,29,22,25-34,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.545,0
27482.09,0.4087,0.7536,2,58,273.01,0.5807,0.7067,0.5863,0.6446,0.5843,17.93,0.6051,5184.0,0.1886,20,25,16,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.7675,1
27677.0,0.5705,0.4687,1,71,150.0,0.2051,0.6842,0.4194,0.3691,0.4331,22.26,0.4072,4285.93,0.1549,13,24,10,50+,Male,Low Income (<30k),Informal MSME / Shopkeeper,0.2934,0
16087.75,0.4493,0.5745,1,55,254.38,0.6753,0.7977,0.5585,0.623,0.556,18.77,0.5792,3108.42,0.1932,9,24,9,35-49,Female,Low Income (<30k),Gig Worker / Delivery,0.6976,0
55980.82,0.3425,0.7075,1,59,779.36,0.5316,0.9006,0.6778,0.7027,0.6599,12.05,0.6801,15211.14,0.2717,13,21,12,25-34,Female,Middle Income (30k-80k),Informal MSME / Shopkeeper,0.9322,1
34975.05,0.5888,0.5157,4,66,150.0,0.6898,0.958,0.5719,0.5293,0.5901,18.62,0.5637,4718.99,0.1349,7,9,2,35-49,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.7538,1
40115.73,0.671,0.3695,2,52,167.08,0.6683,0.9304,0.4924,0.4652,0.4972,19.96,0.4849,11029.06,0.2749,17,25,14,35-49,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.7473,1
32847.06,0.3474,0.657,1,55,554.59,0.866,0.6027,0.5755,0.5212,0.6352,14.94,0.5773,7778.2,0.2368,46,59,44,<25,Male,Middle Income (30k-80k),Freelancer / Creator,0.9301,1
17106.75,0.5871,0.5433,1,50,150.0,0.475,0.6578,0.5581,0.528,0.5868,15.92,0.5576,2101.32,0.1228,29,43,27,35-49,Female,Low Income (<30k),Gig Worker / Delivery,0.5213,1
35592.41,0.3517,0.8533,1,48,185.13,0.3974,0.9482,0.5249,0.5275,0.4773,17.48,0.5099,7529.57,0.2115,10,17,7,25-34,Male,Middle Income (30k-80k),Gig Worker / Delivery,0.8671,0
33975.29,0.341,0.8432,2,43,302.0,0.4847,0.9261,0.5754,0.608,0.5366,15.98,0.5733,7321.56,0.2155,32,36,30,35-49,Male,Middle Income (30k-80k),Freelancer / Creator,0.8612,1
24108.49,0.574,0.5907,2,50,367.54,0.788,0.6776,0.6666,0.6082,0.5771,13.96,0.6173,6505.49,0.2698,27,34,23,35-49,Female,Low Income (<30k),Freelancer / Creator,0.7954,0
33766.1,0.194,0.7037,2,62,530.4,0.607,0.8588,0.5781,0.6249,0.6591,15.0,0.6207,6825.52,0.2021,47,49,46,25-34,Male,Middle Income (30k-80k),Salaried Entry-level,0.9351,1
23078.81,0.308,0.7997,3,37,150.0,0.8205,0.581,0.7205,0.7187,0.672,11.25,0.7037,6375.42,0.2762,59,64,57,<25,Male,Low Income (<30k),Gig Worker / Delivery,0.9792,1
63707.65,0.1248,0.9771,1,48,874.27,0.7277,0.871,0.6792,0.6453,0.7241,11.55,0.6829,17296.22,0.2715,29,44,25,<25,Female,Middle Income (30k-80k),Salaried Entry-level,0.9839,1
54337.61,0.2225,0.8207,2,60,273.47,0.7834,0.7428,0.7105,0.655,0.6892,12.69,0.6849,15347.71,0.2825,18,25,15,25-34,Female,Middle Income (30k-80k),Salaried Entry-level,0.964,1
